"","myAUC","avg_diff","power","avg_log2FC","pct.1","pct.2","cluster","gene"
"249",0.759,1.12373369135914,0.518,4.50267633306075,0.552,0.039,"6","DAB2"
"250",0.881,1.99962301877396,0.762,4.49697504249573,0.816,0.106,"16","IRF4"
"251",0.888,2.66566508109844,0.776,4.493299675794,0.867,0.192,"2","TIMP1"
"252",0.771,1.48755800835363,0.542,4.48900163389427,0.574,0.045,"13","IFIT1"
"253",0.709,0.88904157327443,0.418,4.46332348889097,0.441,0.026,"7","CDKN3"
"254",0.776,0.902545074152078,0.552,4.46326862202753,0.577,0.028,"14","CPNE5"
"255",0.79,1.55750312064233,0.58,4.45392789743423,0.63,0.07,"6","LGMN"
"256",0.752,0.871336364177146,0.504,4.45197535971979,0.517,0.011,"17","S100A16"
"257",0.961,2.3660829946636,0.922,4.4332799303765,0.963,0.146,"7","STMN1"
"258",0.716,0.920955991374223,0.432,4.42702918272899,0.457,0.03,"7","TK1"
"259",0.878,1.84377213822776,0.756,4.42650656716617,0.805,0.104,"16","TCF4"
"260",0.752,1.57554875724026,0.504,4.4215526726133,0.559,0.069,"17","LTBP4"
"261",0.81,1.9470727007467,0.62,4.41750917874321,0.666,0.066,"2","PTGS2"
"262",0.717,1.4811594400503,0.434,4.39057570802464,0.475,0.044,"17","ID1"
"263",0.871,2.55298012825008,0.742,4.38589207107966,0.797,0.085,"2","CXCL2"
"264",0.739,1.29116805782141,0.478,4.38189269348888,0.517,0.042,"17","NBL1"
"265",0.792,2.35836526730789,0.584,4.36729246929196,0.631,0.061,"2","CXCL3"
"266",0.772,2.12479691452661,0.544,4.36641023450969,0.628,0.124,"12","CSTA"
"267",0.781,1.96140700793123,0.562,4.35982675153656,0.631,0.143,"11","NSMCE1"
"268",0.783,1.48083135984313,0.566,4.34089185186895,0.605,0.053,"2","C5AR1"
"269",0.714,1.27004945511277,0.428,4.33219716497612,0.469,0.045,"6","STAB1"
"270",0.781,1.23433356498766,0.562,4.31667977550524,0.585,0.024,"17","NUPR1"
"271",0.759,1.23542859615673,0.518,4.28797095684744,0.551,0.044,"2","FPR1"
"272",0.72,1.1703438829328,0.44,4.25592261271506,0.474,0.038,"6","PLA2G7"
"273",0.895,1.69269785842222,0.79,4.25454723767596,0.841,0.09,"14","LRMP"
"274",0.739,0.91880808292711,0.478,4.24399702430268,0.507,0.033,"7","UBE2T"
"275",0.737,1.34495557268051,0.474,4.2407618611889,0.514,0.05,"2","OLR1"
"276",0.914,1.86711327766702,0.828,4.23468279611969,0.881,0.11,"14","CD79B"
"277",0.83,1.45951780877794,0.66,4.22669589647727,0.709,0.081,"16","APP"
"278",0.837,1.60353224005979,0.674,4.2247634756268,0.72,0.059,"2","SLC11A1"
