"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"SMC32",2.22636400664867e-11,0.46271652667434,0.256,0.179,7.46677960549832e-07,"8","SMC3"
"EID13",2.45960498186648e-11,0.251774629195022,0.496,0.385,8.24902318818379e-07,"8","EID1"
"GSDMD",2.61352914488047e-11,0.357319315838677,0.26,0.181,8.76525404610012e-07,"8","GSDMD"
"C1orf431",3.09481514183569e-11,0.265855580239215,0.343,0.249,1.03793910226885e-06,"8","C1orf43"
"CCSER21",3.12906147398644e-11,0.309166406937342,0.257,0.178,1.04942463714557e-06,"8","CCSER2"
"SRA12",3.21870896960972e-11,0.28441985312507,0.3,0.214,1.07949061422771e-06,"8","SRA1"
"PSMD41",3.68412030609189e-11,0.356491756195732,0.256,0.179,1.2355802682571e-06,"8","PSMD4"
"PPA12",3.79484537351744e-11,0.366188221723279,0.325,0.236,1.27271524137028e-06,"8","PPA1"
"CMPK11",4.05422641895362e-11,0.250270153871395,0.346,0.253,1.35970645638867e-06,"8","CMPK1"
"RNF10",5.21918081022436e-11,0.29594823753572,0.279,0.197,1.75040886013305e-06,"8","RNF10"
"RBBP43",9.11240810063517e-11,0.284009388888442,0.344,0.252,3.05611942879102e-06,"8","RBBP4"
"LUC7L22",1.38756480373208e-10,0.312818526535856,0.265,0.187,4.65361483875665e-06,"8","LUC7L2"
"PDCD12",1.40911448304227e-10,0.359210790301377,0.297,0.214,4.72588815322717e-06,"8","PDCD1"
"CGGBP11",1.6411138944335e-10,0.303328757186603,0.294,0.213,5.50396777915107e-06,"8","CGGBP1"
"PCNP",2.34906388725721e-10,0.265009450204464,0.314,0.228,7.87829046508323e-06,"8","PCNP"
"CHST111",4.22830971528142e-10,0.308548690549178,0.254,0.18,1.41809051231108e-05,"8","CHST11"
"DNAJC152",5.92363653601156e-10,0.295704595251738,0.342,0.255,1.98666922144756e-05,"8","DNAJC15"
"DNAJC11",6.02844150328069e-10,0.274956566757644,0.278,0.2,2.02181871137028e-05,"8","DNAJC1"
"WBP111",6.25335443732469e-10,0.293852411551925,0.257,0.184,2.09725001118995e-05,"8","WBP11"
"SERPINB91",7.75432786623666e-10,0.408053790822964,0.267,0.194,2.60064647977845e-05,"8","SERPINB9"
"PDE3B2",8.13816904397019e-10,0.483550165303248,0.272,0.201,2.72937913396672e-05,"8","PDE3B"
"CNOT7",8.14353758283545e-10,0.250058779186129,0.272,0.194,2.73117963453135e-05,"8","CNOT7"
"CD482",9.52622110006125e-10,0.293512427981743,0.374,0.285,3.19490403253854e-05,"8","CD48"
"DERL1",1.68239655269384e-09,0.257033420785032,0.265,0.191,5.64242155842459e-05,"8","DERL1"
"DDX181",1.68955808600212e-09,0.266620115775414,0.258,0.185,5.6664399088339e-05,"8","DDX18"
"DDX3Y1",5.77424491690173e-09,0.32945445138589,0.266,0.195,0.00019365662602305,"8","DDX3Y"
"MGAT1",7.04790353746397e-09,0.250878425309573,0.25,0.179,0.000236372588839467,"8","MGAT1"
"EIF2S22",1.52051300460791e-08,0.370454115486598,0.261,0.196,0.000509949651485402,"8","EIF2S2"
"REL3",2.24826263754607e-08,0.270197452227746,0.411,0.321,0.0007540223233802,"8","REL"
"PSIP12",3.31438869125467e-08,0.260201522979869,0.28,0.21,0.00111157967927299,"8","PSIP1"
"TSPAN142",3.825742295156e-08,0.250990745396613,0.308,0.232,0.00128307745094942,"8","TSPAN14"
"ARHGAP41",1.09659520418943e-07,0.280286054210088,0.301,0.228,0.0036777609958105,"8","ARHGAP4"
"PIM32",1.68739784780794e-07,0.353884471789881,0.28,0.215,0.00565919490197825,"8","PIM3"
"TYROBP",0,4.88807836932039,0.896,0.049,0,"9","TYROBP"
"FCER1G",0,5.38737321321076,0.799,0.034,0,"9","FCER1G"
