"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"RPL32",0,0.678385921428365,0.994,0.896,0,"0","RPL32"
"RPL21",0,0.741046634990474,0.988,0.892,0,"0","RPL21"
"RPL38",0,0.880508293274684,0.974,0.878,0,"0","RPL38"
"RPL11",0,0.870326306663459,0.994,0.899,0,"0","RPL11"
"RPS27A",0,0.996375538608296,0.994,0.9,0,"0","RPS27A"
"RPS14",0,0.502780447915613,0.991,0.897,0,"0","RPS14"
"RPL10",0,0.72064380435955,0.994,0.901,0,"0","RPL10"
"RPS12",0,0.408351384480166,0.993,0.901,0,"0","RPS12"
"RPL39",0,0.838224035202179,0.995,0.903,0,"0","RPL39"
"RPLP2",0,0.449737436988064,0.991,0.9,0,"0","RPLP2"
"RPS24",0,0.823774402383526,0.992,0.901,0,"0","RPS24"
"RPL34",0,1.32523973428802,0.996,0.907,0,"0","RPL34"
"RPS29",0,0.946868773536979,0.991,0.902,0,"0","RPS29"
"RPS11",0,0.822522428917273,0.975,0.888,0,"0","RPS11"
"RPL30",0,0.977322840716244,0.995,0.91,0,"0","RPL30"
"PTMA",0,1.21199117452698,0.998,0.917,0,"0","PTMA"
"FAU",0,1.08850403902441,0.994,0.913,0,"0","FAU"
"RPL27A",0,0.571696154744734,0.967,0.887,0,"0","RPL27A"
"RPL37",0,0.760151099562943,0.992,0.917,0,"0","RPL37"
"RPS27",0,0.500020691828052,0.993,0.928,0,"0","RPS27"
"HSP90AB1",0,0.675897684974339,0.947,0.882,0,"0","HSP90AB1"
"FTH1",0,1.48548613184554,0.999,0.934,0,"0","FTH1"
"RPL41",0,0.566937855873236,0.997,0.948,0,"0","RPL41"
"H3F3B",0,0.903485723036964,0.987,0.938,0,"0","H3F3B"
"EIF1",0,0.648715510967273,0.973,0.929,0,"0","EIF1"
"MT-ND2",0,0.318607453825522,0.995,0.955,0,"0","MT-ND2"
"MALAT1",0,0.509425167185467,0.999,0.99,0,"0","MALAT1"
"CKLF",1.58133520377511e-306,1.3441349168816,0.565,0.374,5.30348200642095e-302,"0","CKLF"
"SMIM3",4.112725977441e-301,2.45263274338889,0.318,0.135,1.37932603831416e-296,"0","SMIM3"
"COX7C",1.40763127078359e-299,0.78776824407969,0.844,0.753,4.720913755954e-295,"0","COX7C"
"RPL19",2.26171137554522e-297,0.428728452519765,0.989,0.894,7.58532761130356e-293,"0","RPL19"
"NFKB1",3.05122792993052e-295,1.93998819862174,0.486,0.314,1.0233208231401e-290,"0","NFKB1"
"FERMT2",4.93261244172117e-293,2.07712831614005,0.297,0.116,1.65429956070445e-288,"0","FERMT2"
"HSP90AA1",1.38068149587595e-291,0.477871434323927,0.977,0.943,4.63052960086877e-287,"0","HSP90AA1"
"MSRA",6.02030842154722e-291,2.60007591253598,0.27,0.103,2.01909103841851e-286,"0","MSRA"
"ZFAS1",8.20193301644251e-288,1.1276596968859,0.738,0.653,2.75076429505449e-283,"0","ZFAS1"
"HSPH1",4.15246064722739e-287,0.728316792628283,0.799,0.699,1.39265225186712e-282,"0","HSPH1"
"RASGEF1B",1.44801424676101e-286,1.73469515517709,0.458,0.264,4.85635018078709e-282,"0","RASGEF1B"
"RNF130",7.69618284553058e-285,1.66452787464699,0.41,0.215,2.58114580273405e-280,"0","RNF130"
"PLIN2",1.32323177188908e-281,1.14392289674477,0.556,0.36,4.4378547165616e-277,"0","PLIN2"
"DNAJA1",2.58937358290988e-277,0.670259916214306,0.85,0.793,8.68424112236316e-273,"0","DNAJA1"
"TENT5A",5.36982962832217e-275,2.31454120993735,0.393,0.213,1.80093346074669e-270,"0","TENT5A"
"NR4A1",1.62973324768309e-261,1.12569160598256,0.666,0.532,5.46579936607954e-257,"0","NR4A1"
"LACTB",3.60683897892529e-260,1.9543773033271,0.393,0.22,1.20966165675196e-255,"0","LACTB"
"ELL2",1.86637697783872e-258,1.2222755069408,0.502,0.324,6.25945510827551e-254,"0","ELL2"
"SLC44A1",6.54217513262965e-253,2.17284187492565,0.36,0.192,2.19411469598133e-248,"0","SLC44A1"
"SEC61B",8.3177540524675e-252,1.22909356455153,0.624,0.52,2.78960835411655e-247,"0","SEC61B"
"ZEB2",1.98624788030576e-251,1.14549211230173,0.54,0.355,6.66147814096946e-247,"0","ZEB2"
"RGS10",1.45697538788318e-247,1.48635025964749,0.521,0.369,4.88640405588262e-243,"0","RGS10"
"BTK",2.03865063917275e-247,2.37984100867341,0.274,0.116,6.83722651365756e-243,"0","BTK"
"SERPINB1",3.72071881012494e-247,1.08761819734149,0.575,0.43,1.2478546745397e-242,"0","SERPINB1"
"SAMSN1",2.24108866437845e-242,0.413401127344722,0.628,0.44,7.51616316259245e-238,"0","SAMSN1"
"PRDX6",2.81947837146606e-240,1.28291140047824,0.571,0.455,9.45596656222286e-236,"0","PRDX6"
"BHLHE40",1.00605189531479e-237,1.50144720120158,0.483,0.317,3.37409684650675e-233,"0","BHLHE40"
"EEF1B2",1.28798219908313e-235,0.517004941817399,0.902,0.779,4.319634699285e-231,"0","EEF1B2"
"IL18",2.08455419935281e-229,2.0332968621599,0.275,0.12,6.99117787378944e-225,"0","IL18"
"YWHAE",4.49756599808308e-229,1.08558386302885,0.613,0.501,1.5083936844371e-224,"0","YWHAE"
"HSPA1A",2.64402966712926e-223,0.318788002820621,0.954,0.807,8.86754669761812e-219,"0","HSPA1A"
"RPS4Y1",3.02764961370959e-223,0.902239023455558,0.706,0.601,1.01541312744592e-218,"0","RPS4Y1"
"RPLP1",3.39084603760779e-223,0.288019647379388,0.998,0.937,1.1372219440929e-218,"0","RPLP1"
"GSTM3",5.50000772181721e-222,3.12938227738872,0.354,0.199,1.84459258974306e-217,"0","GSTM3"
"GABPB1",6.47659694064768e-220,2.32250957511933,0.274,0.125,2.17212108195442e-215,"0","GABPB1"
"NACA",1.12575275781894e-217,0.473037689925161,0.93,0.844,3.77554959917316e-213,"0","NACA"
"PAG1",5.18416715524883e-217,1.50618682355361,0.438,0.274,1.73866598052735e-212,"0","PAG1"
"ELF1",2.17711945744238e-214,0.88048983072136,0.684,0.608,7.30162323637027e-210,"0","ELF1"
"RPS17",3.24134363952319e-210,0.817805073809209,0.724,0.652,1.08708182982329e-205,"0","RPS17"
"FOS",2.40351958483936e-209,1.00455421977831,0.847,0.798,8.06092398363424e-205,"0","FOS"
"CTSD",1.56863909067589e-208,0.885350970300503,0.595,0.466,5.2609017823088e-204,"0","CTSD"
"LEO1",7.44990691858834e-202,2.38244398594538,0.277,0.134,2.49854978235616e-197,"0","LEO1"
"RPS15",2.24535293725003e-200,0.375058598579832,0.985,0.89,7.53046468094916e-196,"0","RPS15"
"SVIP",1.12312613525925e-199,2.02722895640065,0.356,0.209,3.76674043243246e-195,"0","SVIP"
"EIF3K",1.92868650113602e-198,0.918879112284344,0.688,0.631,6.46842878750998e-194,"0","EIF3K"
"FAM107B",1.99856769535592e-196,1.52277888950229,0.571,0.481,6.70279633668469e-192,"0","FAM107B"
"C21orf91",1.33651018005294e-191,2.04174077930692,0.298,0.153,4.48238784186156e-187,"0","C21orf91"
"C12orf57",7.97109389497656e-190,1.09736652300708,0.603,0.499,2.67334547049724e-185,"0","C12orf57"
"AKAP13",3.29507601036338e-188,0.860159457267321,0.703,0.656,1.10510259235567e-183,"0","AKAP13"
"PARVB",4.17124395934092e-188,2.37013438106405,0.276,0.14,1.39895179908376e-183,"0","PARVB"
"FOXP1",4.6898259272367e-188,1.11968170377879,0.56,0.452,1.57287381947665e-183,"0","FOXP1"
"NPC2",7.76985123217179e-185,0.8796491635095,0.556,0.398,2.60585270624578e-180,"0","NPC2"
"CCL4L2",8.1595257298898e-185,1.60598443175859,0.349,0.188,2.73654173929044e-180,"0","CCL4L2"
"KIF13B",1.1668711110756e-183,1.91646138821576,0.28,0.139,3.91345233232534e-179,"0","KIF13B"
"TOMM7",1.17829811544605e-182,0.620588329549344,0.825,0.746,3.95177621958295e-178,"0","TOMM7"
"TPT1",8.43942220495979e-182,0.293293874245623,0.992,0.971,2.83041341909941e-177,"0","TPT1"
"ID2",3.4458231913687e-180,0.825040021243705,0.646,0.497,1.15566018192124e-175,"0","ID2"
"MYADM",1.46548119820737e-177,1.08715156754852,0.548,0.414,4.91493084254789e-173,"0","MYADM"
"VEGFA",3.66281518050685e-177,1.36356018073589,0.344,0.191,1.22843495523839e-172,"0","VEGFA"
"UBL5",1.11313457208993e-175,0.758316323997577,0.702,0.646,3.7332307278752e-171,"0","UBL5"
"CDC42EP3",1.19120797804459e-173,1.18191391746616,0.436,0.29,3.99507331676596e-169,"0","CDC42EP3"
"PFDN5",2.94858996854519e-173,0.514855004778688,0.857,0.788,9.88898103650684e-169,"0","PFDN5"
"SLC1A5",5.06571232349212e-171,1.77078315928882,0.378,0.25,1.69893859905279e-166,"0","SLC1A5"
"MBOAT7",8.33779896696915e-170,0.847111482608705,0.347,0.196,2.79633101754211e-165,"0","MBOAT7"
"RGS1",1.17129607587231e-169,0.816611240952922,0.658,0.482,3.92829277926057e-165,"0","RGS1"
"WDR83OS",2.36431386325092e-164,1.20927582041726,0.542,0.474,7.92943583457095e-160,"0","WDR83OS"
"CREM",1.20741811216682e-162,0.978085453297979,0.564,0.434,4.04943886458508e-158,"0","CREM"
"RPS27L",1.93245803215323e-162,1.26264358877308,0.53,0.44,6.4810777482355e-158,"0","RPS27L"
"CD83",2.91601111943271e-161,0.638923507413133,0.553,0.372,9.77971809235342e-157,"0","CD83"
"C4orf48",4.84686564863347e-158,1.65786378181171,0.374,0.248,1.62554180123869e-153,"0","C4orf48"
"HSPA8",3.39960185554271e-156,0.543682340909132,0.826,0.804,1.14015847031191e-151,"0","HSPA8"
"PPDPF",1.23662312488689e-153,1.00878507333348,0.561,0.492,4.14738663624566e-149,"0","PPDPF"
"B4GALT5",1.54562110020955e-149,1.54793999301792,0.284,0.155,5.1837040458828e-145,"0","B4GALT5"
"LMO4",1.64516298837309e-146,1.41519741311262,0.472,0.378,5.51754763040567e-142,"0","LMO4"
"SYAP1",1.02083381260063e-143,0.985192248991224,0.532,0.447,3.42367244070001e-139,"0","SYAP1"
"HNRNPH1",1.41177868201654e-143,0.87840866623497,0.664,0.647,4.73482334374707e-139,"0","HNRNPH1"
"PHACTR4",1.22358941511266e-142,2.12574731891275,0.337,0.222,4.10367418040484e-138,"0","PHACTR4"
"PLGRKT",1.07648644722848e-141,2.3410386585398,0.252,0.137,3.61032024671489e-137,"0","PLGRKT"
"SERF2",2.53266952322221e-139,0.372173297700858,0.92,0.862,8.49406704698263e-135,"0","SERF2"
"TUBA1A",8.54902407481656e-138,1.31941915762135,0.571,0.502,2.86717169421198e-133,"0","TUBA1A"
"NDUFS5",4.33164393422797e-137,0.836794897751882,0.625,0.571,1.45274674266138e-132,"0","NDUFS5"
