"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"RPS15A",8.80091744940774e-249,0.813561081042115,0.991,0.873,2.95165169418237e-244,"0","RPS15A"
"RPL14",6.29972901915998e-247,0.862049127235042,0.985,0.854,2.11280311844588e-242,"0","RPL14"
"RPS4X",9.22111030559444e-244,0.929799765053022,0.982,0.83,3.09257597429026e-239,"0","RPS4X"
"RPS23",5.7433451867134e-242,0.854621558301746,0.987,0.868,1.92620310871994e-237,"0","RPS23"
"RPL18",2.34726031083622e-237,0.851936702130161,0.987,0.842,7.87224163048253e-233,"0","RPL18"
"RPL5",2.86951163308436e-234,0.934535985541141,0.972,0.818,9.62376811503833e-230,"0","RPL5"
"RPLP1",4.60927418290449e-233,0.785159236895072,1,0.93,1.54585837546251e-228,"0","RPLP1"
"CCR7",1.2408513625357e-232,2.50910634871067,0.498,0.121,4.16156729967222e-228,"0","CCR7"
"RPL10A",2.47057093668474e-223,0.888514898575551,0.977,0.817,8.28580080745329e-219,"0","RPL10A"
"JUNB",2.60036971315312e-221,1.28624315001446,0.96,0.746,8.72111994397293e-217,"0","JUNB"
"RPS10",6.52454353275741e-215,0.978048236870291,0.973,0.801,2.18820141001618e-210,"0","RPS10"
"RPL31",3.82214294412953e-213,0.906565154608801,0.962,0.792,1.28187030060216e-208,"0","RPL31"
"RPL18A",1.21844128244294e-209,0.782547661455482,0.99,0.868,4.08640837305714e-205,"0","RPL18A"
"RPL27",1.02052991470927e-207,0.858532199837585,0.97,0.803,3.42265322795194e-203,"0","RPL27"
"RPL22",4.10403299510787e-204,0.820839855515455,0.976,0.813,1.37641058589928e-199,"0","RPL22"
"RPL27A",9.1767199063965e-201,0.762237209684169,0.985,0.86,3.07768832220726e-196,"0","RPL27A"
"AREG",5.21721567776431e-198,2.18177032311201,0.593,0.214,1.74974979400859e-193,"0","AREG"
"EIF1",2.24294522155068e-195,0.801851618028402,0.991,0.887,7.52238968403668e-191,"0","EIF1"
"RPL26",1.73403153895662e-193,0.723406700203524,0.991,0.857,5.81559497535272e-189,"0","RPL26"
"RPS2",3.02435094645162e-193,0.709026129554707,0.994,0.912,1.01430682042094e-188,"0","RPS2"
"RPS5",5.60079512304562e-191,0.892955348496344,0.965,0.788,1.87839466836704e-186,"0","RPS5"
"RPS16",1.71957416043164e-186,0.716513144914204,0.991,0.868,5.76710781925563e-182,"0","RPS16"
"PLAC8",1.0179415452505e-183,1.93996607682946,0.361,0.067,3.41397235446111e-179,"0","PLAC8"
"RPL24",9.46997836424601e-178,0.706787432330946,0.989,0.833,3.17604134380083e-173,"0","RPL24"
